
running 1 test
9 0.000021779 0.000012826 0.000003865
202 0.114824055 0.009887511 0.001839639
189 0.095824991 0.009549831 0.001475900
209 0.155472621 0.014489662 0.002466586
235 0.280079391 0.024574795 0.001956282
64 0.002876727 0.000565343 0.000052771
172 0.078181181 0.006959536 0.001034298
107 0.021252651 0.002589726 0.000250584
242 0.219878063 0.016336607 0.003126901
249 0.263395357 0.017450921 0.003487719
189 0.105361110 0.007374663 0.001234385
239 0.238625278 0.017356148 0.002965521
214 0.161792558 0.010451583 0.002197553
68 0.004430908 0.000903730 0.000073884
191 0.114057597 0.010689705 0.001597061
60 0.004119576 0.000797055 0.000066776
241 0.225337863 0.016957449 0.003151393
49 0.001973320 0.000541829 0.000052046
122 0.024509651 0.002692474 0.000268123
114 0.018862944 0.003060885 0.000246618
245 0.212311903 0.012140218 0.002173945
